Title,Description,Url,Started On,Finished On
Formation of law library,"To meet the increasing needs of students taking business studies courses, a private college library was formed with major emphasis on law and legal studies. This would not be possible without collaboration of London Bar Chambers and their helpful librarians. This simplified to a great extent lecture and exam preparation of students.",,2010,
Enhancing IT skills,"To improve efficiency of finance department members, a number of measures were taken to improve awareness and knowledge of the team members about MS Excel and a number of fundamental to financial roles software programs (specific to industry). This not only increased efficiency of the tasks performed and speeded up completion of the duties but also enhanced the overall morale and confidence of the members in their own and their colleagues’ abilities.   ",,2012,
ACCA Approved Employer Certification,"To enable existing students of the Group to improve their chances of successful completion of ACCA studies by taking advantage of mentor-ship and experience of more senior colleagues who are already ACCA members, initiated ACCA Approved Employer Certification for the Group, which is expected to be obtained by the end of the year latest. ",,2015,
Finance for non-finance managers,"To enable non financial managers assess impact of their actions, a series of lectures were given to heads of departments, covering basics of financial reporting and management accounting. This increased overall awareness of reporting process, major financial and operational metrics and brought greater understanding of issues discussed during the meetings afterwords.",,2016,
Excel for finance professionals,"To increase efficiency of finance and accounting departments, a series of lectures were given on formatting, use of formulas, pivot tables, macros, and shortcuts. Accountants and financial analysts had the chance to see how their job can be done differently, practice in application of new knowledge and see how Excel can simplify their daily tasks.",,2016,
