Company Name,Role,Cause,Started On,Finished On,Description
嶺南長青藤國際幼稚園,Preschool Teacher,education,Oct 2016,Jul 2017,"For quite a wile I was planning to gain experience of dealing with preschool kids and gain understanding of educational management, as part of my social project related to talented kids (A.B.L.E. Society). I was hesitant between Africa, Brazil and China (中国) but my long term affection for Mandarin tipped the balance.  During two semesters (one academic year), I was teaching English to over 200 children between 2 and 5 years of age."
A.B.L.E. Society,Founder,education,Jul 2016,,"Helping gifted orphans to get access to education and enabling them to reveal their full potential. This program is intended to develop talents and empower children to utilize their knowledge in finance, information technology, mathematics and languages.  This organization is privately funded and has no relation to publicly funded entities. "
