Name,Number
IBM SPSS Statistics,
VBA modeling,
Microsoft Project 2010,
Leadership,
"Caclulus, Statistics and Probability",
Effective presentations,
IFRS implementation,
Rethinking International Tax Law,
Project management,
PowerPoint Essential Training,
Access Essential Training,
GBS,
Project management,
Agile and scrum methodologies,
RPA Awareness Training,
