Ad clicked Date,Ad Title/Id
2026/05/23 06:50:04 UTC,1305695524
2026/01/23 11:51:23 UTC,971828313
2026/05/23 11:54:37 UTC,1306793324
2026/01/23 18:04:46 UTC,1128085094
2026/05/23 11:54:41 UTC,1306793324
2026/01/23 18:06:05 UTC,1128085094
2026/05/24 04:04:04 UTC,1310380334
2026/01/23 11:51:55 UTC,971828313
2026/05/12 08:48:58 UTC,1189985493
2026/01/23 11:51:59 UTC,971828313
2026/05/12 08:49:02 UTC,1189985493
2026/01/23 11:52:03 UTC,971828313
2026/05/12 08:49:03 UTC,1189985493
2024/06/20 05:34:11 UTC,424856384
2026/05/12 08:49:04 UTC,1189985493
2024/06/20 05:42:39 UTC,424856384
2026/05/12 08:49:07 UTC,1189985493
2024/10/14 17:35:03 UTC,511677383
2026/05/11 11:06:01 UTC,1189386833
2024/10/14 17:35:03 UTC,511677383
2026/05/11 11:06:04 UTC,1189386833
2024/10/14 11:12:21 UTC,511677383
2026/05/11 11:06:04 UTC,1189386833
2024/10/14 11:12:23 UTC,511677383
2026/05/09 19:34:10 UTC,1293007844
2024/10/17 12:29:23 UTC,514449273
2026/04/30 14:15:15 UTC,1254198673
2024/10/17 14:03:39 UTC,514468873
2026/04/30 14:15:15 UTC,1254198673
2024/10/17 14:03:41 UTC,514468873
2026/04/27 14:11:58 UTC,1217781893
2024/10/17 12:29:21 UTC,514449273
2026/04/25 08:53:46 UTC,1223486723
2024/10/17 12:29:27 UTC,514449273
2026/04/25 08:53:49 UTC,1223486723
2024/10/17 14:03:43 UTC,514468873
2026/04/25 08:54:28 UTC,1220195343
2024/09/25 19:43:16 UTC,506154253
2026/04/25 08:54:31 UTC,1220195343
2026/01/18 08:30:12 UTC,758490594
2026/04/09 19:58:13 UTC,1203195913
2026/01/26 13:22:04 UTC,1116081763
2026/04/09 19:58:15 UTC,1203195913
2026/01/26 13:21:59 UTC,1116081763
2026/04/09 19:58:17 UTC,1203195913
2026/01/26 13:22:02 UTC,1116081763
2026/04/05 15:00:18 UTC,1200281533
2026/01/19 16:31:26 UTC,971779353
2026/04/05 15:00:25 UTC,1200281533
2026/01/19 16:31:29 UTC,971779353
2026/04/05 15:00:28 UTC,1200281533
2026/01/19 16:31:32 UTC,971779353
2026/03/26 11:38:53 UTC,963180966
2025/11/11 07:38:46 UTC,427698984
2025/09/30 20:01:20 UTC,859951233
2024/09/25 06:39:29 UTC,507255113
2025/09/30 20:10:57 UTC,854506383
2024/09/25 06:39:51 UTC,507255113
2025/09/30 20:10:58 UTC,854506383
2024/09/25 06:40:03 UTC,507255113
2025/09/30 20:10:59 UTC,854506383
2024/12/15 21:28:58 UTC,544027354
2025/09/30 20:01:37 UTC,859951233
2024/12/15 21:28:58 UTC,544027354
2026/02/23 20:26:15 UTC,1105001633
2024/11/13 09:34:18 UTC,532073093
2024/09/12 06:59:55 UTC,429375663
2024/11/13 09:34:18 UTC,532073093
2024/09/12 06:59:59 UTC,429375663
2025/10/16 19:41:15 UTC,771319714
2024/10/23 14:23:16 UTC,521468183
2024/08/09 18:52:33 UTC,490124476
2024/10/23 14:23:08 UTC,521468183
2024/08/09 18:52:38 UTC,490124476
2024/10/23 14:23:17 UTC,521468183
2025/03/28 14:33:41 UTC,573503413
2026/02/12 06:58:20 UTC,1057084046
2025/03/28 14:33:43 UTC,573503413
2026/01/11 19:01:36 UTC,1021163566
2025/03/28 15:37:16 UTC,573503443
2025/06/12 12:31:17 UTC,708542003
2025/03/28 14:33:45 UTC,573503413
2024/09/04 10:35:57 UTC,489733796
2025/03/28 15:37:20 UTC,573503443
2024/09/04 10:36:11 UTC,489733796
2025/03/28 15:37:22 UTC,573503443
2024/09/04 10:36:19 UTC,489733796
2024/06/20 08:14:11 UTC,424856384
2024/09/04 10:36:21 UTC,489733796
2024/06/20 08:14:16 UTC,424856384
2025/04/23 15:06:50 UTC,665852823
2026/01/16 14:47:13 UTC,1086485784
2024/12/15 07:39:21 UTC,544027354
2026/01/16 14:47:13 UTC,1086485784
2024/07/07 13:26:44 UTC,473785166
2026/01/16 14:47:17 UTC,1086485784
2024/07/07 13:26:48 UTC,473785166
2026/02/15 15:05:59 UTC,1174303983
2024/12/04 07:47:11 UTC,532726924
2025/10/29 15:12:27 UTC,914696273
2024/07/02 04:49:57 UTC,444964063
2024/06/22 13:57:45 UTC,427197884
2024/07/08 16:17:53 UTC,445711853
2024/06/22 13:57:48 UTC,427197884
2026/01/29 06:40:56 UTC,1132582864
2025/03/23 15:03:32 UTC,427698984
2026/01/29 06:41:03 UTC,1132582864
2025/03/23 15:03:34 UTC,427698984
2026/01/29 06:41:27 UTC,1132582864
2025/10/05 11:54:23 UTC,758412004
2026/01/29 06:44:27 UTC,1160783583
2025/06/10 19:03:45 UTC,690963804
2026/01/29 06:45:36 UTC,1133880394
2026/01/31 08:26:06 UTC,1167595733
2026/01/29 06:39:26 UTC,1132582864
2026/01/27 12:53:22 UTC,1161192413
2026/01/29 06:40:04 UTC,1132582864
2026/01/27 12:53:24 UTC,1161192413
2026/01/28 10:46:45 UTC,758352494
2026/01/27 12:53:26 UTC,1161192413
2026/03/23 11:25:09 UTC,1193873483
2024/11/16 09:59:42 UTC,535431563
2026/03/23 18:52:53 UTC,811279843
2024/11/16 09:59:43 UTC,535431563
2026/03/23 18:52:54 UTC,811279843
2024/10/13 13:14:34 UTC,511677383
2024/07/08 16:17:49 UTC,445711853
2024/10/13 13:14:37 UTC,511677383
2025/08/27 10:24:06 UTC,771121953
2025/08/27 10:24:07 UTC,771121953
2025/08/27 10:24:10 UTC,771121953
2025/07/26 16:01:27 UTC,744594093
2025/10/30 18:20:13 UTC,758500074
2025/10/30 18:20:19 UTC,758500074
2025/10/30 18:20:26 UTC,758500074
2025/02/13 19:46:26 UTC,575717314
2024/07/26 05:49:56 UTC,486377656
2026/03/13 09:45:45 UTC,811168753
2026/03/13 09:45:49 UTC,811168753
2026/03/13 09:45:52 UTC,811168753
2026/03/12 08:25:39 UTC,1189285153
2024/09/09 09:40:15 UTC,486150633
2024/09/09 09:40:18 UTC,486150633
2024/09/09 09:40:20 UTC,486150633
2024/09/09 09:42:12 UTC,486122743
2024/09/09 09:42:14 UTC,486122743
2024/09/09 09:42:16 UTC,486122743
2024/09/09 09:42:39 UTC,492526543
2024/09/09 09:42:41 UTC,492526543
2024/09/09 09:42:43 UTC,492526543
